id,age,years_remain,remain_war,name
10030,27,1,1.1315188472284767,Chris Owings
10047,28,1,1.3905320754091894,Wil Myers
10059,28,4,10.612383121088452,Max Stassi
10071,28,2,1.813350773434744,Jonathan Villar
10155,27,12,45.39167782350907,Mike Trout
10199,28,1,-0.1711306479412903,Billy Hamilton
10200,28,2,1.3322359969864626,Tucker Barnhart
10231,29,0,2.4668530870883068,Jose Iglesias
10243,27,2,4.194207133650165,Randal Grichuk
10264,31,3,5.5325005240457665,Brandon Belt
10286,29,6,4.685340624893609,Francisco Arcia
10322,28,3,3.279633025856166,Danny Santana
10323,28,6,2.492252784055802,Rafael Ortega
10324,28,1,5.2227414995662045,Marcell Ozuna
10339,29,1,3.3303467998609704,Scooter Gennett
10346,28,3,5.5104995415445535,John Ryan Murphy
10348,26,3,8.708009483577985,Domingo Santana
10416,27,6,3.949827676393317,Wilfredo Tovar
10459,30,0,-0.5726331218686584,Adeiny Hechavarria
10472,27,2,5.443426661908313,Enrique Hernandez
10473,26,3,5.822103439200518,Cheslor Cuthbert
10542,29,2,1.4985910391318287,Derek Dietrich
10556,29,2,5.652763292574944,Cesar Hernandez
10607,30,6,0.3691368094102306,Bryce Brentz
10681,27,5,4.61711480138752,Gio Urshela
10681,27,5,4.61711480138752,Giovanny Urshela
10762,30,1,1.389672239460303,Corey Dickerson
10807,29,3,13.10885071568564,Tyler Saladino
10815,26,2,8.61402619926862,Jurickson Profar
10816,30,1,3.5011953257552664,Jedd Gyorko
10847,29,1,5.371597845839694,Andrelton Simmons
10950,30,3,4.375947591192247,Adam Duvall
10951,29,3,3.2715807696366226,Greg Garcia
10953,30,3,1.3035626546017187,Phil Gosselin
11038,29,2,4.635757234269993,Kevin Kiermaier
11200,31,1,1.0289386810708934,Kole Calhoun
11205,30,3,6.896524346369939,Adam Eaton
11241,31,6,8.800755820354416,Mike Freeman
11265,27,1,2.96902212176379,Jonathan Schoop
11270,28,3,3.4001541988568627,Aaron Altherr
11281,30,4,13.752371986619027,Whit Merrifield
11287,31,2,-1.0882104080700794,Bryan Holaday
11339,28,2,2.1814964001593817,Jake Marisnick
11342,29,4,9.347351160598164,Jesus Aguilar
11368,30,0,1.678802343509858,Yasmani Grandal
11379,26,4,9.841399829260354,Delino DeShields
11442,26,4,11.625147204071949,Gary Sanchez
11445,30,3,4.731877500513969,Mark Canha
11470,27,4,6.974158311171878,Tony Wolters
11476,27,2,5.547282146732207,Odubel Herrera
11477,27,1,9.012967390951406,Christian Yelich
11489,28,4,6.457449881362573,Michael A. Taylor
11493,26,10,26.139118269901807,Manny Machado
11579,26,13,27.57551147070394,Bryce Harper
11602,27,3,6.7202924201329095,Yolmer Sanchez
11609,27,4,10.049796483308166,Willson Contreras
11611,26,6,10.305564672950819,Rosell Herrera
11615,26,4,9.248767828048733,Brandon Drury
11680,28,4,3.9488539401565665,Elias Diaz
11737,27,1,3.3294080910553974,Nick Castellanos
11737,27,1,3.3294080910553974,Nicholas Castellanos
11739,28,2,10.058228806813123,J.T. Realmuto
1177,39,3,2.9490152519491066,Albert Pujols
11846,31,1,2.312710141748734,Leonys Martin
11850,27,5,2.1331683494847353,Tyler Austin
11863,27,5,9.495096787628253,Yadiel Rivera
11875,27,6,5.930893729717438,Ronny Rodriguez
11894,27,6,-3.3575470068769184,Noel Cuevas
11899,27,2,5.133138178018642,Joc Pederson
11902,26,4,5.446103124140213,Hanser Alberto
11935,30,6,-4.305635432575822,Travis Taijeron
11936,28,2,5.132237445301038,Joe Panik
11982,29,3,11.284720775724256,Travis Shaw
12005,29,6,9.189577296126783,Nick Martini
12037,29,6,1.5069450801994275,Jon Berti
12092,27,5,6.954266486180035,Niko Goodrum
12119,29,6,3.158967971364658,Matt Skole
12140,26,6,8.07823869200383,Juniel Querecuto
12144,26,4,11.950540380599092,Max Kepler
12147,29,2,1.736074741615644,Nick Ahmed
12155,27,3,7.4333937799842165,Eddie Rosario
12158,29,4,10.004677859231686,Austin Barnes
12160,27,4,12.345776829492388,Ben Gamel
12161,26,1,7.012922316558291,Xander Bogaerts
12164,26,3,2.6405816036004524,Miguel Sano
12174,26,6,8.947336645285,Jorge Bonifacio
12179,26,3,7.675028165714714,Maikel Franco
12180,26,5,6.281050793225517,Jorge Alfaro
12225,28,4,6.988240304043041,Scott Schebler
12282,25,2,7.269031908224478,Rougned Odor
12284,31,4,3.474035779581341,Kevan Smith
12294,28,2,0.3300016472167364,Cory Spangenberg
12325,29,2,0.47101638925030337,Jace Peterson
12371,30,2,0.4185698924785406,Tommy La Stella
12434,30,2,4.419848281038357,Kevin Pillar
12510,30,4,9.710368522552812,Curt Casali
12532,28,1,4.078416379884508,Kolten Wong
12533,28,2,5.863269055601502,Marcus Semien
12546,29,2,1.7203939437511357,C.J. Cron
12547,29,4,1.1890534463204365,John Hicks
