name,ml_team,score_now,score_rebuild,predicted_remaining,remain_war
Aaron Bracho,CLE,-0.6679907808114538,-0.6679907808114538,0,3.1
Adley Rutschman,BAL,2.3354181497072117,2.3354181497072117,0,6.9
Alec Bohm,PHI,0.9127507615667908,0.9127507615667908,0,5.1
Alejandro Kirk,TOR,-0.6679907808114538,-0.6679907808114538,0,3.1
Alek Thomas,ARI,0.9127507615667908,0.9127507615667908,0,5.1
Alexander Canario,SF,-0.6679907808114538,-0.6679907808114538,0,3.1
Anderson Tejeda,TEX,-0.6679907808114538,-0.6679907808114538,0,3.1
Andres Gimenez,NYM,0.9127507615667908,0.9127507615667908,0,5.1
Andrew Knizner,STL,-0.6679907808114538,-0.6679907808114538,0,3.1
Andrew Vaughn,CWS,0.9127507615667908,0.9127507615667908,0,5.1
Anthony Seigler,NYY,-0.6679907808114538,-0.6679907808114538,0,3.1
Anthony Volpe,NYY,-0.6679907808114538,-0.6679907808114538,0,3.1
Antoni Flores,BOS,-0.6679907808114538,-0.6679907808114538,0,3.1
Antonio Cabello,NYY,-0.6679907808114538,-0.6679907808114538,0,3.1
Aramis Ademan,CHC,-0.6679907808114538,-0.6679907808114538,0,3.1
Austin Hays,BAL,-0.6679907808114538,-0.6679907808114538,0,3.1
Bayron Lora,TEX,-0.6679907808114538,-0.6679907808114538,0,3.1
Bo Naylor,CLE,-0.6679907808114538,-0.6679907808114538,0,3.1
Bobby Bradley,CLE,-0.6679907808114538,-0.6679907808114538,0,3.1
Bobby Dalbec,BOS,-0.6679907808114538,-0.6679907808114538,0,3.1
Brandon Marsh,ANA,-0.6679907808114538,-0.6679907808114538,0,3.1
Brayan Rocchio,CLE,-0.6679907808114538,-0.6679907808114538,0,3.1
Brendan McKay,TB,1.703121532755913,1.703121532755913,0,6.1
Brendan Rodgers,COL,1.703121532755913,1.703121532755913,0,6.1
Brennen Davis,CHC,-0.6679907808114538,-0.6679907808114538,0,3.1
Brent Rooker,MIN,-0.6679907808114538,-0.6679907808114538,0,3.1
Brett Baty,NYM,0.9127507615667908,0.9127507615667908,0,5.1
Brice Turang,MIL,0.9127507615667908,0.9127507615667908,0,5.1
Bubba Thompson,TEX,-0.6679907808114538,-0.6679907808114538,0,3.1
C.J. Chatham,BOS,-0.6679907808114538,-0.6679907808114538,0,3.1
Cal Mitchell,PIT,-0.6679907808114538,-0.6679907808114538,0,3.1
Cal Raleigh,SEA,-0.6679907808114538,-0.6679907808114538,0,3.1
Carter Kieboom,WAS,0.9127507615667908,0.9127507615667908,0,5.1
Chase Strumpf,CHC,-0.6679907808114538,-0.6679907808114538,0,3.1
CJ Abrams,SD,0.9127507615667908,0.9127507615667908,0,5.1
Cole Roederer,CHC,-0.6679907808114538,-0.6679907808114538,0,3.1
Colton Welker,COL,-0.6679907808114538,-0.6679907808114538,0,3.1
Corbin Carroll,ARI,0.9127507615667908,0.9127507615667908,0,5.1
Corey Ray,MIL,-0.6679907808114538,-0.6679907808114538,0,3.1
Daulton Varsho,ARI,0.9127507615667908,0.9127507615667908,0,5.1
Davis Wendzel,TEX,-0.6679907808114538,-0.6679907808114538,0,3.1
Daz Cameron,DET,-0.6679907808114538,-0.6679907808114538,0,3.1
Diego Cartaya,LA,-0.6679907808114538,-0.6679907808114538,0,3.1
DJ Peters,LA,-0.6679907808114538,-0.6679907808114538,0,3.1
Drew Mendoza,WAS,-0.6679907808114538,-0.6679907808114538,0,3.1
Drew Waters,ATL,0.9127507615667908,0.9127507615667908,0,5.1
Dylan Carlson,STL,0.9127507615667908,0.9127507615667908,0,5.1
Eduardo Garcia,MIL,-0.6679907808114538,-0.6679907808114538,0,3.1
Elehuris Montero,STL,-0.6679907808114538,-0.6679907808114538,0,3.1
Estevan Florial,NYY,0.9127507615667908,0.9127507615667908,0,5.1
Evan White,SEA,0.9127507615667908,0.9127507615667908,0,5.1
Everson Pereira,NYY,-0.6679907808114538,-0.6679907808114538,0,3.1
Francisco Alvarez,NYM,-0.6679907808114538,-0.6679907808114538,0,3.1
Freudis Nova,HOU,-0.6679907808114538,-0.6679907808114538,0,3.1
Gabriel Moreno,TOR,-0.6679907808114538,-0.6679907808114538,0,3.1
Gabriel Rodriguez,CLE,-0.6679907808114538,-0.6679907808114538,0,3.1
George Valera,CLE,-0.6679907808114538,-0.6679907808114538,0,3.1
Geraldo Perdomo,ARI,-0.6679907808114538,-0.6679907808114538,0,3.1
Gilberto Jimenez,BOS,-0.6679907808114538,-0.6679907808114538,0,3.1
Grant Lavigne,COL,-0.6679907808114538,-0.6679907808114538,0,3.1
Greg Jones,TB,-0.6679907808114538,-0.6679907808114538,0,3.1
Gunnar Henderson,BAL,-0.6679907808114538,-0.6679907808114538,0,3.1
Heliot Ramos,SF,0.9127507615667908,0.9127507615667908,0,5.1
